Tempo_de_Carga_horas,Energia_Armazenada_mAh,Temperatura_C,Idade_da_Bateria_meses,Tensao_de_Carga_V,Corrente_de_Carga_A,Saude_da_Bateria_percentual
1.69,131.81,24.3,5,4.2,1.5,94.8
1.22,55.24,24.5,8,3.7,2.0,83.6
2.73,245.4,28.2,8,3.7,1.0,88.1
1.11,106.8,26.4,23,3.7,1.5,70.0
3.44,233.9,27.3,11,4.2,1.5,81.1
3.57,344.39,29.5,5,4.2,2.0,100.0
3.65,225.84,26.3,22,3.7,1.5,70.0
9.19,448.48,26.5,14,3.7,1.0,80.2
7.3,380.69,22.9,5,4.2,1.0,98.9
9.68,593.21,29.1,10,5.0,1.0,86.3
2.6,240.68,19.9,14,4.2,1.0,84.7
2.34,190.34,24.4,3,4.2,1.0,95.3
9.73,547.28,22.5,23,3.7,1.5,70.0
3.27,221.91,30.3,10,3.7,1.0,86.7
4.96,313.6,25.9,21,4.2,1.5,70.5
9.79,702.78,25.5,16,5.0,2.0,75.3
7.48,491.19,24.3,18,5.0,1.0,76.9
4.66,328.1,27.3,15,5.0,1.5,72.2
2.23,156.9,24.9,10,3.7,1.0,85.4
2.14,266.7,27.5,15,5.0,1.5,82.5
9.8,598.34,23.7,7,3.7,1.0,92.8
8.03,585.83,27.7,17,3.7,1.0,70.0
1.11,51.8,27.1,20,4.2,1.5,70.0
2.66,199.02,25.4,21,3.7,2.0,70.0
7.68,592.38,24.9,18,5.0,2.0,70.0
4.38,287.92,26.0,16,4.2,1.0,77.1
6.59,503.95,24.6,6,3.7,2.0,90.6
3.14,234.7,24.6,7,4.2,2.0,96.9
7.73,563.11,25.4,23,3.7,1.5,70.0
9.63,540.24,25.0,7,5.0,1.5,96.8
8.34,622.14,27.2,8,4.2,1.0,78.7
3.58,267.96,26.0,14,5.0,1.0,79.1
2.74,291.87,26.5,22,4.2,1.0,70.0
7.73,603.78,26.6,13,5.0,1.0,85.9
4.85,337.45,26.5,6,5.0,2.0,91.0
9.72,666.38,27.4,6,5.0,1.5,99.5
9.13,604.77,26.4,21,5.0,2.0,70.0
4.05,324.44,25.7,3,5.0,1.0,95.0
9.11,596.71,24.7,2,4.2,1.5,92.6
8.49,692.94,23.5,16,4.2,1.0,77.2
1.93,158.73,23.4,8,4.2,1.0,86.3
9.49,599.18,21.2,8,4.2,1.0,86.1
9.02,582.54,23.4,3,4.2,1.5,96.7
4.67,377.8,26.9,3,4.2,2.0,100.0
6.44,539.83,24.6,21,5.0,1.5,70.0
9.48,496.4,26.3,22,5.0,2.0,71.9
9.91,659.14,25.1,13,3.7,1.5,87.6
8.96,519.35,25.6,13,4.2,1.0,79.9
3.33,321.56,22.4,18,4.2,2.0,70.0
6.72,405.35,25.4,20,3.7,1.0,72.1
1.36,52.47,28.6,20,4.2,1.5,74.0
4.84,400.41,27.5,13,5.0,2.0,90.4
1.48,143.62,26.6,4,4.2,1.5,86.5
1.84,262.09,23.1,1,3.7,1.0,95.4
2.69,252.45,26.0,15,3.7,1.0,79.9
6.25,494.75,30.5,17,3.7,1.5,75.8
8.12,506.37,24.0,18,4.2,1.5,70.0
2.75,276.79,24.2,8,4.2,1.5,90.0
1.07,149.16,23.4,13,3.7,2.0,84.1
1.22,132.29,27.2,7,3.7,1.0,88.5
6.97,486.46,25.0,17,4.2,1.0,78.5
4.53,416.37,24.4,17,4.2,2.0,73.2
7.12,499.03,23.4,13,5.0,1.5,81.2
1.41,143.93,25.5,18,4.2,1.0,75.8
2.8,292.55,26.7,11,3.7,1.5,83.7
4.12,217.55,25.5,23,5.0,2.0,70.0
7.96,531.23,24.7,19,5.0,1.0,70.0
7.27,510.68,26.9,15,3.7,2.0,80.7
1.35,140.21,26.2,20,4.2,2.0,76.9
7.53,568.1,27.4,1,3.7,2.0,100.0
8.77,519.78,26.2,15,5.0,2.0,75.6
9.93,678.36,22.1,1,5.0,1.5,100.0
6.57,584.42,20.4,12,5.0,1.0,81.4
1.31,112.13,24.0,2,5.0,1.0,100.0
1.45,166.01,24.7,16,5.0,1.0,70.7
6.09,376.57,27.9,15,3.7,2.0,72.2
2.34,234.0,25.6,1,3.7,1.5,100.0
1.21,73.98,24.8,8,3.7,1.0,87.6
6.93,501.72,26.3,12,4.2,1.0,84.8
7.85,553.13,26.6,8,4.2,1.5,90.9
1.76,180.99,25.8,10,5.0,1.0,90.4
7.51,558.13,27.3,7,5.0,1.5,92.2
1.87,71.8,22.6,11,5.0,2.0,82.4
1.99,225.53,26.2,8,5.0,1.5,88.2
8.12,524.36,23.9,23,4.2,1.5,70.0
8.36,665.52,24.7,6,3.7,1.0,74.9
7.33,563.48,26.5,6,4.2,1.0,99.4
8.4,519.94,24.5,13,4.2,2.0,76.2
5.4,462.77,24.6,8,5.0,2.0,86.2
8.19,528.61,29.8,9,5.0,1.0,90.1
5.88,408.23,22.6,21,5.0,1.0,70.0
3.42,280.73,27.2,19,3.7,1.5,78.0
4.64,321.83,26.4,8,3.7,1.5,91.4
8.15,580.86,25.0,7,3.7,2.0,82.2
8.52,686.96,26.3,17,4.2,1.5,73.1
1.25,120.19,26.2,6,3.7,1.0,95.5
3.61,252.15,23.9,6,3.7,1.5,89.0
2.9,365.71,25.3,19,4.2,2.0,72.1
2.61,231.49,25.3,4,4.2,2.0,98.6
4.96,358.21,24.6,17,3.7,1.5,74.3
1.12,38.77,24.6,9,3.7,1.0,83.0
5.54,390.07,25.0,23,3.7,1.0,72.0
2.07,78.13,26.1,10,5.0,1.5,84.3
2.77,244.93,28.2,12,5.0,1.0,70.0
8.04,538.75,23.0,8,3.7,1.0,83.7
6.5,560.21,22.5,18,4.2,1.5,70.0
7.45,491.31,24.5,4,3.7,1.5,96.8
8.32,559.0,24.4,15,5.0,1.5,74.1
7.62,468.42,23.3,12,3.7,1.5,80.0
2.61,179.48,21.8,14,5.0,1.5,78.0
4.04,335.19,24.6,9,4.2,1.5,87.5
7.35,537.8,20.6,8,4.2,1.5,84.7
8.96,650.18,24.5,3,4.2,1.5,92.1
9.2,541.04,26.2,3,3.7,1.0,98.0
3.32,341.65,21.8,16,3.7,2.0,82.0
8.47,520.61,23.7,9,4.2,1.5,86.6
4.1,290.18,25.0,12,4.2,1.0,81.1
8.24,537.27,23.7,15,5.0,1.5,83.4
5.04,360.3,26.4,20,5.0,2.0,70.0
4.33,344.93,22.4,12,5.0,2.0,81.7
6.86,346.34,23.1,23,3.7,1.5,70.0
3.6,337.66,28.0,23,5.0,1.5,70.0
7.05,557.27,26.2,22,5.0,1.0,70.0
6.16,533.85,26.8,2,5.0,1.0,100.0
7.1,505.56,24.1,21,4.2,1.5,70.0
2.9,253.43,29.2,22,3.7,1.5,70.0
7.75,419.56,24.3,1,3.7,2.0,100.0
2.64,224.97,21.3,21,4.2,1.5,70.0
3.38,197.75,26.6,17,3.7,2.0,76.4
3.47,283.29,21.1,11,5.0,1.0,82.1
3.33,319.89,26.8,16,5.0,2.0,70.9
1.26,186.24,22.6,12,3.7,1.5,84.9
6.87,522.27,25.2,3,4.2,1.0,98.5
8.89,598.17,28.2,3,3.7,1.0,98.8
2.68,263.92,23.2,18,5.0,2.0,72.4
7.55,558.69,24.6,20,4.2,2.0,70.0
9.46,612.59,24.7,8,3.7,1.5,90.7
4.28,302.73,28.0,23,4.2,1.0,70.0
4.79,322.16,25.0,5,5.0,1.0,91.4
1.52,141.78,24.2,5,3.7,1.0,89.9
2.29,238.8,25.8,9,4.2,1.0,83.4
4.89,436.48,26.4,1,5.0,2.0,95.8
8.42,555.78,27.4,8,5.0,1.5,86.4
6.84,402.08,24.0,13,4.2,2.0,75.4
8.49,517.71,26.4,21,3.7,1.5,70.0
8.52,593.22,25.9,23,5.0,2.0,70.1
2.83,232.82,23.6,12,4.2,1.5,70.0
2.12,172.95,27.4,1,5.0,2.0,99.8
3.9,246.54,26.6,5,5.0,1.0,94.5
3.84,291.47,24.5,15,4.2,1.0,78.7
4.39,370.91,23.8,1,5.0,1.0,98.6
1.68,116.54,27.8,1,4.2,2.0,98.6
2.65,287.59,28.5,10,5.0,1.5,89.8
2.16,128.67,25.8,22,3.7,2.0,76.9
3.4,266.05,27.8,6,4.2,1.5,91.9
8.84,586.87,31.2,22,3.7,1.0,70.0
2.48,164.1,26.1,6,3.7,1.0,93.3
9.03,602.65,26.0,6,5.0,1.0,91.0
7.74,483.5,23.8,15,4.2,2.0,86.7
9.59,580.62,23.9,8,3.7,1.0,80.0
2.66,210.14,25.9,22,4.2,2.0,70.3
6.9,450.04,26.6,13,4.2,1.5,83.9
4.48,306.96,26.3,6,5.0,1.0,92.5
7.07,551.31,26.4,17,4.2,1.5,76.1
1.12,81.5,26.7,23,3.7,1.0,70.0
3.76,323.15,24.3,20,4.2,1.5,70.5
8.38,636.64,26.8,6,3.7,1.5,89.8
6.35,404.5,26.0,18,3.7,1.0,70.0
5.78,442.38,23.7,17,5.0,1.5,81.3
6.44,543.93,23.9,7,3.7,1.0,83.3
3.25,210.48,20.7,12,5.0,1.5,75.8
5.33,484.54,23.3,19,3.7,1.5,70.0
2.29,231.81,26.4,11,4.2,1.5,82.8
2.86,257.39,24.2,15,5.0,1.0,71.6
5.49,398.07,22.3,3,5.0,1.0,98.5
4.28,261.5,25.5,20,4.2,1.5,70.9
9.05,623.67,21.4,16,4.2,2.0,77.3
3.95,390.44,22.9,8,3.7,2.0,93.4
3.83,466.84,22.3,17,3.7,1.0,70.0
1.31,87.92,21.6,4,5.0,1.5,91.9
4.73,363.02,22.8,13,5.0,2.0,79.7
2.75,264.01,24.7,14,4.2,1.0,73.6
5.05,395.77,25.3,16,4.2,1.5,76.2
6.39,492.19,27.9,4,3.7,1.0,88.3
7.2,503.61,24.3,8,3.7,1.0,93.4
9.97,611.86,24.2,16,5.0,1.5,85.2
5.47,394.8,25.5,4,5.0,2.0,90.9
4.55,349.16,23.1,13,3.7,1.5,83.3
3.43,319.34,25.1,22,3.7,2.0,70.0
7.86,547.61,23.2,11,3.7,1.5,86.8
7.86,520.27,27.1,7,5.0,1.0,95.3
7.05,522.16,21.3,13,3.7,2.0,82.3
4.76,401.94,23.1,2,5.0,1.0,94.5
9.34,607.1,22.0,8,4.2,1.5,88.3
6.77,470.57,23.7,7,5.0,2.0,88.3
7.51,597.47,25.4,6,5.0,1.0,94.5
1.56,96.37,24.5,18,5.0,2.0,70.4
9.02,632.18,28.3,5,5.0,2.0,91.5
2.84,218.08,22.4,7,3.7,1.5,81.1
5.21,465.66,26.7,2,4.2,1.5,100.0
3.96,355.95,22.8,6,3.7,1.5,96.1
1.42,159.02,23.2,14,4.2,2.0,82.3
7.93,511.17,25.5,4,3.7,1.0,90.5
4.46,405.64,25.7,6,4.2,1.0,94.2
8.65,523.79,24.9,5,5.0,1.5,87.7
2.64,277.21,21.9,10,5.0,2.0,76.0
3.06,162.35,26.0,20,3.7,2.0,70.0
9.18,667.15,24.9,16,3.7,2.0,75.5
8.01,547.4,24.3,10,4.2,2.0,89.6
7.87,577.83,25.0,17,5.0,1.0,74.2
5.44,373.69,24.7,4,5.0,1.5,85.3
3.67,246.32,25.5,4,3.7,1.0,95.3
5.32,326.52,26.7,19,5.0,2.0,70.0
4.42,336.51,21.8,22,3.7,1.5,70.0
2.27,266.74,26.4,1,4.2,1.0,92.7
5.97,408.25,25.6,16,5.0,1.0,70.0
5.22,378.11,24.5,23,4.2,1.5,70.0
1.13,125.6,23.6,12,4.2,2.0,83.8
1.81,186.16,26.4,23,3.7,1.5,70.0
4.87,422.39,22.5,19,5.0,1.0,70.0
5.49,479.52,26.8,5,5.0,1.0,88.3
3.16,263.52,27.1,13,5.0,1.5,74.0
7.69,561.52,29.7,16,4.2,1.5,78.6
8.37,547.64,25.6,14,5.0,1.0,83.5
1.92,196.57,22.3,9,4.2,2.0,78.8
7.7,539.31,26.7,3,3.7,1.0,91.2
8.73,646.85,24.2,11,3.7,1.0,89.0
8.09,529.08,24.9,11,5.0,2.0,80.6
1.46,99.72,25.1,21,5.0,1.0,74.0
4.22,336.72,24.0,7,4.2,1.5,89.5
1.18,237.73,22.5,17,5.0,2.0,77.7
3.19,218.79,26.6,2,4.2,1.0,96.3
2.25,204.24,24.4,12,3.7,1.0,86.6
2.86,306.29,26.6,18,3.7,2.0,70.0
6.74,396.59,26.1,11,3.7,1.0,83.6
4.92,328.7,22.3,6,5.0,1.0,89.9
7.25,534.2,22.4,12,5.0,1.5,74.9
5.89,392.69,26.0,11,4.2,2.0,77.2
7.35,444.76,24.5,7,4.2,1.0,87.5
6.18,414.16,25.4,2,5.0,1.0,98.6
6.83,585.17,25.7,8,5.0,1.0,81.7
5.28,406.22,26.0,23,3.7,1.5,70.0
6.16,393.27,25.8,14,3.7,1.5,78.1
8.77,572.21,23.1,17,5.0,2.0,75.2
8.47,569.63,24.4,8,5.0,2.0,87.9
7.3,480.8,24.6,5,3.7,1.0,89.4
7.26,531.29,25.9,14,4.2,1.5,80.4
9.84,616.58,22.2,10,3.7,1.0,83.2
4.42,348.82,27.0,13,4.2,2.0,84.5
1.84,248.4,21.2,3,3.7,1.0,94.2
5.5,397.32,28.7,15,5.0,2.0,80.0
7.73,629.69,26.1,14,5.0,2.0,77.8
6.48,506.31,23.1,23,5.0,1.0,70.0
3.42,247.4,24.2,6,5.0,1.5,94.4
6.87,549.85,25.1,18,4.2,2.0,72.7
6.36,526.06,24.9,4,4.2,1.0,100.0
1.66,101.9,27.9,23,4.2,1.0,70.0
9.04,583.31,25.6,13,5.0,1.5,81.4
7.73,535.1,28.5,11,4.2,2.0,93.5
8.87,602.58,25.8,4,5.0,2.0,98.4
7.32,552.58,27.4,20,4.2,2.0,71.8
3.16,118.14,23.7,15,3.7,1.5,70.2
7.85,520.78,24.9,19,4.2,2.0,73.9
6.15,501.97,24.1,6,3.7,1.5,95.0
9.54,535.51,23.8,20,4.2,1.0,70.0
9.81,593.07,26.2,5,4.2,2.0,88.5
6.11,460.58,23.7,20,5.0,2.0,70.0
2.1,177.79,20.6,4,3.7,1.0,97.7
9.61,587.01,24.6,9,4.2,2.0,83.8
6.32,476.71,25.0,10,3.7,1.5,89.5
8.01,512.11,26.3,4,4.2,1.5,82.1
5.05,342.76,23.5,19,3.7,1.5,70.0
8.19,579.95,25.9,3,3.7,2.0,96.1
7.8,528.64,27.8,2,4.2,1.0,100.0
1.9,66.9,25.6,14,4.2,1.0,78.2
2.16,292.59,25.4,21,4.2,1.5,70.0
5.36,523.99,27.1,11,4.2,1.0,74.4
3.12,290.72,26.9,21,4.2,1.0,73.4
8.99,580.67,25.8,7,5.0,1.0,87.8
9.58,557.24,24.6,18,3.7,1.5,70.0
4.35,368.37,23.3,12,3.7,2.0,83.0
3.59,258.08,22.8,1,3.7,2.0,100.0
